country_code,country_name,regression_rmse_base,regression_rmse_augmented,delta_rmse
BRN,Brunei,0.23567315558148705,0.09831979001160056,-0.13735336556988648
KHM,Cambodia,1.4170661001375042,1.372597017938218,-0.044469082199286136
IDN,Indonesia,0.6861290919121135,0.3758833570933373,-0.31024573481877615
LAO,Laos,0.198677261525891,0.14507418049569168,-0.05360308103019931
MYS,Malaysia,0.27025860732110046,0.33210243126104716,0.061843823939946696
MMR,Myanmar,0.45341380810620496,0.5333319803228362,0.07991817221663128
PHL,Philippines,0.1054526700777061,0.14946294659625123,0.044010276518545124
SGP,Singapore,0.40826542155669576,0.33707243294244404,-0.07119298861425172
THA,Thailand,0.0676167048569361,0.08418365488619417,0.016566950029258065
TLS,Timor-Leste,0.11917415034200725,0.13952938508044735,0.0203552347384401
VNM,Vietnam,0.6961672229075131,0.37588352017174076,-0.32028370273577234
