country_code,country_name,regression_rmse,regression_mae,nn_rmse,nn_mae,arima_rmse,arima_mae,arimax_rmse,arimax_mae,regression_wins,nn_wins,arima_wins,arimax_wins,ties,n_test_points,arima_order,arimax_order,arimax_dummy_rmse,arimax_dummy_mae,arimax_dummy_wins,arimax_dummy_order,arimax_dummy_delta_rmse,arimax_dummy_improved
BRN,Brunei,2.772589927763152,2.2854356039924286,4.240547603834825,3.19406560478666,2.5020665788289054,1.6637493791073223,2.5431111960099133,1.8154000676305824,6,6,5,7,0,35,"(0, 1, 0)","(0, 1, 1)",2.403336892328439,1.5475704994950805,11,,-0.09872968650046632,True
TLS,Timor-Leste,0.3445556548011343,0.2507427533230578,0.428628664218762,0.278682023109151,0.19124005468534278,0.14732042287614716,0.18173784065656545,0.1269761090045342,4,5,7,10,1,35,"(1, 1, 2)","(0, 1, 0)",0.18081135528109812,0.12787055659834484,8,,-0.010428699404244651,True
LAO,Laos,0.3815947597301042,0.20146888353145267,0.3715956254726061,0.22782198166777223,0.2550225211224576,0.134006421843671,0.2260561134099333,0.1408356513804161,13,9,3,3,5,35,"(0, 1, 0)","(0, 1, 0)",0.25180580629916055,0.14771412188031366,2,,-0.003216714823297051,True
PHL,Philippines,0.11500765270164066,0.09533016356656236,0.07176514401222586,0.05095153443281298,0.06726523864057406,0.05622046124285793,0.07704963293715704,0.05763008508120822,3,10,7,5,0,35,"(1, 1, 1)","(1, 1, 0)",0.06556678275548003,0.05251170279603334,10,,-0.0016984558850940273,True
THA,Thailand,0.32033973419767064,0.26291492408099143,0.1729008747365549,0.1255804776940905,0.17229585805036404,0.13653426990727546,0.19476355460031144,0.1493369961910341,3,14,9,4,0,35,"(1, 1, 0)","(0, 1, 0)",0.173045036819641,0.13881210250614867,5,,0.0007491787692769647,False
KHM,Cambodia,0.19578580553247296,0.14922000854340856,0.15642731034827972,0.1155423162327263,0.09872953582547478,0.07914528325977621,0.1093691639849798,0.07642987717896836,6,7,4,13,0,35,"(0, 1, 0)","(0, 1, 0)",0.10042231035781124,0.08195496778921667,5,,0.0016927745323364607,False
MYS,Malaysia,1.0651930926302968,0.7189386339109423,0.47162938452661407,0.34915497343722474,0.3402681846674321,0.29170891012044625,0.3999681438374955,0.31696837568792163,9,8,6,5,0,35,"(0, 1, 0)","(1, 1, 1)",0.35168463224223323,0.28685183522818586,7,,0.011416447574801147,False
MMR,Myanmar,0.15255776391049836,0.13008878925645034,0.14464613211955432,0.1100369265186143,0.10936899250292711,0.06841085803553436,0.12766762422701522,0.07988495363581995,3,3,3,10,10,35,"(0, 1, 0)","(0, 1, 0)",0.12592053784415946,0.06914432110753348,6,,0.01655154534123235,False
IDN,Indonesia,0.16853170719764266,0.14198920117851788,0.16515597601124976,0.11701293353391759,0.1432061464658467,0.1074753531643915,0.14552260010408788,0.10328486641054982,3,8,8,11,0,35,"(0, 1, 1)","(1, 1, 0)",0.16359154577433938,0.11858532283750785,5,,0.020385399308492674,False
SGP,Singapore,2.011145855028339,1.6762807957847616,0.8582523844764128,0.6547567421674864,0.7925912254899792,0.6176047519338448,0.8157066258864334,0.6394694296868094,3,13,5,9,0,35,"(1, 1, 1)","(1, 1, 1)",0.8150571496981206,0.6315055922456878,5,,0.02246592420814142,False
VNM,Vietnam,0.4148201366099738,0.24390462604843788,0.4703224709820316,0.3220875905055591,0.1966441129711974,0.13850078171342164,0.1633852579822428,0.1090676221458508,3,6,6,8,4,35,"(1, 0, 0)","(0, 1, 0)",0.21957740817702398,0.14176768738983886,8,,0.02293329520582657,False
