Country_Code,Country_Name,Sample_Size,RMSE,MAE,Mean_Residual,Std_Residual,Min_Residual,Max_Residual
BRN,Brunei,55,2.396121108876736,1.9020642688380995,3.940282443760556e-15,2.396121108876736,-4.142768902437055,6.713864001373924
KHM,Cambodia,55,0.3321629033926139,0.2538168273305732,-1.5341263613002163e-16,0.3321629033926139,-0.8141870251925829,0.5587145184566431
IDN,Indonesia,55,0.06327664482921587,0.047600518188302,1.1223345485301583e-15,0.06327664482921587,-0.14425708600561604,0.17085154584044293
LAO,Laos,55,0.4995564642729557,0.4286019064650743,-1.291895883200182e-16,0.49955646427295564,-0.9029438458879817,0.9487346570898163
MYS,Malaysia,55,0.7916105439321607,0.5756710029929804,-3.0682527226004327e-16,0.7916105439321607,-2.804826588117791,1.770562354086672
MMR,Myanmar,55,0.0897859350307759,0.06336605840246394,-6.45947941600091e-17,0.08978593503077592,-0.2164070689022648,0.3700681086340869
PHL,Philippines,55,0.07113189935269264,0.05719164944993109,-9.285501660501309e-17,0.07113189935269264,-0.13269475378253826,0.20394306430162956
SGP,Singapore,55,0.9287264356418553,0.7380995542600436,-1.1384832470701605e-14,0.9287264356418552,-2.4647945478255107,2.2290171629724878
THA,Thailand,55,0.11567106591897168,0.09491959002060367,-1.453382868600205e-16,0.11567106591897168,-0.26703841455530597,0.23263327141313894
TLS,Timor-Leste,55,0.44928519528406685,0.33725804772284174,2.7049070054503816e-16,0.44928519528406685,-0.7319567686715904,1.2751129486624821
VNM,Vietnam,55,0.9589457552187054,0.9257498313277258,-1.9378438248002731e-16,0.9589457552187055,-1.1625715423804375,1.3915928099305948
