k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,1402.5479746848043,0.028765262750237268,41.43967400829728,5.4261823243738485
3,1371.3557916015463,0.035828222524315174,38.04263409280511,5.028541359172434
4,1342.7343254099444,0.047843440960147546,36.41490500300799,4.850756190636718
5,1327.7076457834908,0.047273152487634806,31.792044533192254,4.628162453948233
6,1302.5042687520959,0.05857945339540855,31.635851005644188,4.607491676251957
7,1277.6273942444986,0.06507500699777237,31.658009800538387,4.163809487837917
8,1260.3328631060172,0.06867608811598033,30.3865388623973,4.031889827307967
9,1236.7389950946497,0.08426408648090473,30.599305778118104,3.821824949696731
10,1219.8336150992718,0.08530335363179235,29.830498564748982,3.7161617397451168
11,1193.9626777357082,0.09780707185526323,30.606648266614286,3.4414172464768145
12,1174.8325539234722,0.10520557621020674,30.44008332895487,3.443778850565542
13,1157.5080342935062,0.1159788105716146,30.139038177833584,3.167904715418556
14,1139.9582985074512,0.11532561872964957,29.972969023137637,3.157929153758399
15,1119.1588782923777,0.12772947746668487,30.282777123046717,3.1372861722786785
